Ruolo,Giocatore,Squadra,Quotazione_Gazzetta,Offerta_max,Sostituisce,Note,Preso,Prezzo_pagato
P,Carnesecchi,Atalanta,34,38,Svilar,Miglior fantamedia dei portieri lo scorso anno,,
P,Butez,Como,32,34,Svilar,19 clean sheet - uno piu di Svilar,,
D,Wesley,Roma,36,28,Mancini,5 gol lo scorso anno - difensore da bonus puro,,
D,Kristensen,Atalanta,19,8,Doekhi,Titolare nell'undici di Sarri,,
C,McTominay,Napoli,60,80,Calhanoglu,Stessa fascia - se Calha vola oltre 85 vai su di lui,,
C,Perrone,Como,35,25,Vlasic,3 gol e 4 assist - voti sempre alti,,
C,Zielinski,Inter,39,20,Locatelli,Jolly - rilanciato da Chivu,,
A,Pellegrino,Fiorentina,48,44,Pinamonti,Ha preso il posto di Kean in viola - 12 gol col Parma,,
A,Krstovic,Atalanta,56,38,Raspadori,MVP entrando alla 1a - alternativa rigori Atalanta,,
A,Stulic,Lecce,29,22,Adams A.,Centravanti titolare del Lecce,,
