Ruolo,Giocatore,Squadra,Quotazione_Gazzetta,Offerta_max,Gruppo,Rigorista,Note,Preso,Prezzo_pagato
P,Svilar,Roma,38,42,PAGATO,No,Portiere piu caro del listone - clean sheet nel 4-0,,
P,Palmisani,Frosinone,12,1,RIEMPITIVO,No,Titolare vero - schierabile se serve,,
P,Thiam,Monza,11,1,RIEMPITIVO,No,Titolare vero - terzo slot,,
D,Mancini,Roma,33,36,PAGATO,No,4 gol E fantamedia 6.5 - bonus piu voto,,
D,Pavlovic,Milan,33,26,PAGATO,No,5 gol e media 6.24 - profilo da bonus,,
D,Doekhi,Lazio,18,10,PAGATO,No,7 gol con l'Union Berlino - clean sheet a Bologna,,
D,Rrahmani,Napoli,25,4,RIEMPITIVO,No,Solo voto niente bonus - prendere tardi,,
D,N'Dicka,Roma,30,3,RIEMPITIVO,No,Solo voto niente bonus - prendere tardi,,
D,Mina,Cagliari,20,2,RIEMPITIVO,No,Titolare confermato Cagliari,,
D,Gabriel (Tiago),Lecce,18,2,RIEMPITIVO,No,Listato GABRIEL nel listone,,
D,Troilo,Parma,13,1,RIEMPITIVO,No,Titolare Parma,,
C,Calhanoglu,Inter,60,80,STELLA,Si,L'unico nome su cui sfondare - 9 gol e miglior media voto,,
C,Orsolini,Bologna,53,50,PAGATO,Si,Centrocampista al Classic (verificato) - nessuna coppa,,
C,Vlasic,Torino,52,24,PAGATO,Si,Rigorista Torino - non inseguire oltre,,
C,Locatelli,Juventus,33,14,PAGATO,Si,Rigorista dopo l'infortunio di Yildiz,,
C,Casadei,Torino,28,1,RIEMPITIVO,No,Titolare Torino - prendere tardi,,
C,Ekkelenkamp,Udinese,28,1,RIEMPITIVO,No,Titolare Udinese - prendere tardi,,
C,Bernabe,Parma,29,1,RIEMPITIVO,No,Calci piazzati Parma,,
C,Fazzini,Cagliari,18,1,RIEMPITIVO,No,Titolare Cagliari,,
A,Pinamonti,Lazio,54,50,PAGATO,No,Nuovo titolare Lazio,,
A,Raspadori,Atalanta,42,46,PAGATO,No,Titolare con Sarri - gol all'esordio,,
A,Colombo Lo.,Genoa,36,42,PAGATO,Si,Rigorista Genoa - NON il Colombo del Monza,,
A,Berardi,Sassuolo,48,28,PAGATO,Si,INFORTUNATO caviglia - scommessa sul rientro,,
A,Adams A.,Venezia,18,16,PAGATO,Si,Rigorista Venezia ma squadra a zero gol in 2 giornate - NON Adams C. del Torino,,
A,Douvikas,Como,65,18,PAGATO,No,In ballottaggio con Kean - a 18 ottimo quarto slot,,
